window_id,scenario,group,factual_accuracy,completeness,situational_awareness,avg_score
1,STABLE,GroupA,2.0,2.67,4.0,2.89
1,STABLE,GroupB,1.0,2.0,4.0,2.33
1,STABLE,GroupC,5.0,5.0,5.0,5.0
2,STATUS_A,GroupA,2.0,3.0,4.0,3.0
2,STATUS_A,GroupB,1.33,2.33,4.0,2.55
2,STATUS_A,GroupC,5.0,5.0,4.67,4.89
3,STATUS_B,GroupA,3.0,3.33,4.0,3.44
3,STATUS_B,GroupB,1.0,1.67,3.0,1.89
3,STATUS_B,GroupC,5.0,5.0,4.0,4.67
4,STATUS_C,GroupA,2.0,2.0,2.0,2.0
4,STATUS_C,GroupB,1.0,1.67,1.0,1.22
4,STATUS_C,GroupC,5.0,5.0,5.0,5.0
5,STATUS_C,GroupA,2.0,2.0,2.0,2.0
5,STATUS_C,GroupB,1.0,1.0,1.0,1.0
5,STATUS_C,GroupC,5.0,5.0,5.0,5.0
